entity_id,display_name,archetype,archetype_label,delegation_source,incentive_alignment,exclude_from_baseline,confidence,reasoning,capital_class
COINBASE_BISON,Coinbase / bison.run,cex,Exchange Custody,Retail user balances custodied by exchange,none,true,High,"Coinbase global exchange + bison.run staking infrastructure. Delegation represents custodied retail ADA, not sovereign delegator choice. Near-zero pledge (structurally impossible for custodied funds). 89 registered pools, 23 near-saturation. Margin 4.6% — exchange earns on custody and service products separately.",sufficient
BINANCE,Binance,cex,Exchange Custody,Retail user balances custodied by exchange,none,true,High,"Binance global exchange with Earn/staking product. BNP-prefixed tickers, unambiguous exchange brand. Pledge≈0. Declining over time from 7.4% to 1.8% of supply — suggests gradual withdrawal of exchange-staked ADA rather than organic delegation loss.",sufficient
UPBIT,Upbit,cex,Exchange Custody,Retail user balances custodied by exchange,none,true,High,South Korean exchange (Dunamu). margin=100% — exchange retains all on-chain rewards and pays users a separate fixed APY from its own treasury. The protocol reward signal is fully internalized; user-facing yield is decoupled from pool performance.,sufficient
ETORO,eToro,cex,Exchange Custody,Retail user balances custodied by exchange,none,true,High,Social trading and investment platform with custody staking. margin=100% — same internalized reward model as Upbit. 24 registered pools but only 12 active; declining stake suggests wind-down of Cardano staking product.,sufficient
YUTA,YUTA,cex,Exchange Custody,Custodied or platform-mediated stake,none,true,Medium,"Multi-brand cluster attributed to coinzzz.jp (Japanese crypto service) and tokyostaker.com. Zero declared pledge on most pools, opaque pool branding. Behaviorally consistent with exchange or custodial staking. Confidence medium — attribution is not independently verified.",sufficient
STAKEBOWL,StakeBowl,cex,Exchange Custody,Platform-custodied or managed stake,none,true,Medium,"Operated by neoply.io (South Korean blockchain platform). margin=80.7%, pledge=0. Behaviorally consistent with a platform that retains most protocol rewards and provides users a separate yield. Confidence medium — neoply.io is not a major retail exchange but operated blockchain gaming and staking services.",sufficient
FIGMENT,Figment,ivaas,Institutional Validator,Institutional client delegation via staking SaaS,partial,false,High,"Institutional staking provider serving asset managers, custodians, and exchanges. Clients choose to stake on Cardano and outsource technical operation. Near-zero self-pledge — pledge comes from operator, not from client assets. More aligned than CEX (clients knowingly chose Cardano staking) but pledge signal is still structurally suppressed.",sufficient
KILN,Kiln,ivaas,Institutional Validator,Institutional client delegation via staking SaaS,partial,false,High,"Institutional validator SaaS; originally identified on Cardano as Adalite-branded infrastructure (KILN tickers later appeared). Serves enterprises, custodians, and wallets. Near-zero self-pledge. Passes protocol rewards to clients minus margin.",sufficient
BLOCKDAEMON,Blockdaemon,ivaas,Institutional Validator,Institutional client delegation via staking SaaS,partial,false,High,"Enterprise blockchain infrastructure combining node/API access, staking, and MPC vault products. Clients are financial institutions and enterprises. Near-zero self-pledge. Moderate concentration at near-saturation.",sufficient
EVERSTAKE,Everstake,ivaas,Institutional Validator,Institutional client delegation via staking SaaS,partial,false,High,"Validator and yield infrastructure provider. Markets Validator-as-a-Service and wallet/yield SDKs. Near-zero self-pledge. Pledge=1K is nominal, not economically meaningful relative to 567M ADA managed stake.",sufficient
NUFI,NuFi,platform,Platform / Wallet,Wallet users; staking mediated by platform UX,partial,false,High,Non-custodial wallet and DeFi platform. Delegation is from wallet users who retain ADA ownership and chose to stake — materially different from CEX custody. NuFi operates pools as a service extension. Near-zero self-pledge but users can also delegate to third-party pools.,sufficient
ADALITE_PLATFORM,Adalite platform cluster,platform,Platform / Wallet,Platform-attributed delegation; ownership uncertain,partial,false,Low-Medium,"Pool group attributed to the Adalite wallet platform by on-chain analytics. Attribution confidence is low — claim is not asserted by any party. Could represent pools that defaulted to platform-suggested delegation. Treated as platform-mediated, not as a controlled entity.",sufficient
CARDANO_FOUNDATION,Cardano Foundation,ecosystem,Ecosystem Steward,Self-sovereign stake; mission-driven operator,mission,false,High,"Cardano's non-profit steward. All 6 pools are fully self-pledged at z₀ (76M ADA median pledge). margin=100% is mission-consistent — CF retains rewards to fund protocol development, not to extract user yield. Should be excluded from commercial-operator comparisons but retained in full-system analyses.",sufficient
