entity_id,display_name,category,visibility,confidence,claim_type,matched_pools,active_pools,current_stake_b_ada,current_pct_supply,epoch_400_pct_supply,epoch_410_pct_supply,epoch_584_pct_supply,evidence_basis
COINBASE_BISON,Coinbase / bison.run,opaque_operational,Hidden behind hosted metadata / relay infrastructure,Medium-High,Same operational cluster,89,47,2.451,6.37,6.60,5.50,5.71,"tickers N/A (16), RRC (1), OOH (1) | domains 33cb114a.cardano-metadata.bison.run (1), ranchcrypto.io (1) | Koios COINBASE (46); AdaStat n/a; BalanceAnalytics COINBASE (44)"
CHUCK_BUX,CHUCK BUX,unresolved_label,External label only,Low,Unresolved cluster label,17,15,0.834,2.17,0.00,0.03,1.99,tickers STKD (1) | domains git.io (1) | Koios CHUCK BUX (17); AdaStat stake1u8ww9v63kydymm7hslk4mxyte36str9ehdz06lzsu5r4jlq0e2shk (2); BalanceAnalytics CHUCK BUX (17)
FIGMENT,Figment,provider_cluster,Provider-mediated cluster,Medium-High,Same provider cluster,37,36,0.788,2.05,0.00,0.00,1.09,"tickers zzcf1 (1), gjp7a (1), BTV1 (1) | domains pcpm.s3.amazonaws.com (36), figment.io (1) | Koios FIGMENT (36); AdaStat ledger.com (36); BalanceAnalytics FIGMENT (9)"
BINANCE,Binance,declared_brand,Open public brand,High,Same operator cluster,114,50,0.691,1.80,7.44,4.22,2.41,"tickers BNP (77), IFS1 (1), KKS (1) | domains s3.amazonaws.com (32), s3-us-west-2.amazonaws.com (19) | Koios BINANCE (96); AdaStat binance.com (93); BalanceAnalytics BINANCE (95)"
KILN,Kiln,provider_cluster,Open provider brand,High,Same provider cluster,11,11,0.687,1.78,0.66,0.72,1.56,"tickers KILN0 (1), KILN1 (1), KILN2 (1) | domains tinyurl.com (11) | Koios ADALITE (10); AdaStat kiln.fi (9); BalanceAnalytics ADALITE (9)"
WAVE,Wave / Wavepool,declared_brand,Open public brand,High,Same operator cluster,31,17,0.611,1.59,2.44,2.39,1.60,"tickers WAVE (1), WAV2 (1), WAV6 (1) | domains meta.wavepool.digital (22), raw.githubusercontent.com (6) | Koios WAVE (18); AdaStat wavepool.digital (16); BalanceAnalytics WAVE (17)"
BLOCKDAEMON,Blockdaemon,declared_brand,Open public brand,High,Same operator cluster,18,15,0.577,1.50,1.31,0.93,1.50,"tickers BD0 (1), BD1 (1), BD2 (1) | domains cardano.blockdaemon.com (9), pcpm.s3.amazonaws.com (1) | Koios BD (14); AdaStat blockdaemon.com (8); BalanceAnalytics BD (15)"
EVERSTAKE,Everstake,declared_brand,Open public brand,High,Same operator cluster,16,15,0.567,1.47,1.41,1.43,1.20,"tickers EVE6 (2), EVRST (1), EVERS (1) | domains everstake.one (15), git.io (1) | Koios EVE (15); AdaStat everstake.one (15); BalanceAnalytics EVE (11)"
UPBIT,Upbit,declared_brand,Open public brand,High,Same operator cluster,20,20,0.551,1.43,0.00,0.27,1.16,tickers UPBIT (20) | domains staking-static.upbit.com (20) | Koios UPBIT (20); AdaStat upbit.com (15); BalanceAnalytics UPBIT (10)
ETORO,eToro,declared_brand,Open public brand,High,Same operator cluster,24,12,0.472,1.23,1.49,1.48,1.17,"tickers ETO1 (1), ETO2 (1), ETO3 (1) | domains etoro-spo.github.io (14), bit.ly (7) | Koios ETORO (24); AdaStat etoro.com (24); BalanceAnalytics ETORO (16)"
